class,canonicalcategory,category,film,name,nominees,winner,detail,multifilmnomination
Production,VISUAL EFFECTS,VISUAL EFFECTS,Little Shop of Horrors,"Lyle Conway, Bran Ferren, Martin Gutteridge","Lyle Conway, Bran Ferren, Martin Gutteridge",False,nan,nan
Production,VISUAL EFFECTS,VISUAL EFFECTS,Poltergeist II: The Other Side,"Richard Edlund, John Bruno, Garry Waller, William Neil","Richard Edlund, John Bruno, Garry Waller, William Neil",False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Screenplay Based on Material from Another Medium),Children of a Lesser God,"Hesper Anderson, Mark Medoff","Hesper Anderson, Mark Medoff",False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Screenplay Based on Material from Another Medium),The Color of Money,Richard Price,Richard Price,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Screenplay Based on Material from Another Medium),Crimes of the Heart,Beth Henley,Beth Henley,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Screenplay Based on Material from Another Medium),A Room with a View,Ruth Prawer Jhabvala,Ruth Prawer Jhabvala,True,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Screenplay Based on Material from Another Medium),Stand by Me,"Raynold Gideon, Bruce A. Evans","Raynold Gideon, Bruce A. Evans",False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),'Crocodile' Dundee,"Screenplay by Paul Hogan, Ken Shadie, John Cornell; Story by Paul Hogan","Paul Hogan, Ken Shadie, John Cornell",False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),Hannah and Her Sisters,Woody Allen,Woody Allen,True,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),My Beautiful Laundrette,Hanif Kureishi,Hanif Kureishi,False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),Platoon,Oliver Stone,Oliver Stone,False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),Salvador,"Oliver Stone, Richard Boyle","Oliver Stone, Richard Boyle",False,nan,nan
Special,IRVING G. THALBERG MEMORIAL AWARD,IRVING G. THALBERG MEMORIAL AWARD,nan,Steven Spielberg,Steven Spielberg,True,nan,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Wall Street,Michael Douglas,Michael Douglas,True,Gordon Gekko,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Broadcast News,William Hurt,William Hurt,False,Tom Grunick,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Dark Eyes,Marcello Mastroianni,Marcello Mastroianni,False,Romano,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Ironweed,Jack Nicholson,Jack Nicholson,False,Francis Phelan,nan
