class,canonicalcategory,category,film,name,nominees,winner,detail,multifilmnomination
Title,BEST PICTURE,BEST PICTURE,Philomena,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers","Gabrielle Tana, Steve Coogan, Tracey Seaward",False,nan,nan
Title,BEST PICTURE,BEST PICTURE,12 Years a Slave,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers","Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, Anthony Katagas",True,nan,nan
Title,BEST PICTURE,BEST PICTURE,The Wolf of Wall Street,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers","Martin Scorsese, Leonardo DiCaprio, Joey McFarland, Emma Tillinger Koskoff",False,nan,nan
Production,ART DIRECTION,PRODUCTION DESIGN,American Hustle,Production Design: Judy Becker; Set Decoration: Heather Loeffler,"Judy Becker, Heather Loeffler",False,nan,nan
Production,ART DIRECTION,PRODUCTION DESIGN,Gravity,Production Design: Andy Nicholson; Set Decoration: Rosie Goodwin and Joanne Woollard,"Andy Nicholson, Rosie Goodwin, Joanne Woollard",False,nan,nan
Production,ART DIRECTION,PRODUCTION DESIGN,The Great Gatsby,Production Design: Catherine Martin; Set Decoration: Beverley Dunn,"Catherine Martin, Beverley Dunn",True,nan,nan
Production,ART DIRECTION,PRODUCTION DESIGN,Her,Production Design: K.K. Barrett; Set Decoration: Gene Serdena,"K.K. Barrett, Gene Serdena",False,nan,nan
Production,ART DIRECTION,PRODUCTION DESIGN,12 Years a Slave,Production Design: Adam Stockhausen; Set Decoration: Alice Baker,"Adam Stockhausen, Alice Baker",False,nan,nan
Title,SHORT FILM (Animated),SHORT FILM (Animated),Feral,Daniel Sousa and Dan Golden,"Daniel Sousa, Dan Golden",False,nan,nan
Title,SHORT FILM (Animated),SHORT FILM (Animated),Get a Horse!,Lauren MacMullan and Dorothy McKim,"Lauren MacMullan, Dorothy McKim",False,nan,nan
Title,SHORT FILM (Animated),SHORT FILM (Animated),Mr. Hublot,Laurent Witz and Alexandre Espigares,"Laurent Witz, Alexandre Espigares",True,nan,nan
Title,SHORT FILM (Animated),SHORT FILM (Animated),Possessions,Shuhei Morita,Shuhei Morita,False,nan,nan
Title,SHORT FILM (Animated),SHORT FILM (Animated),Room on the Broom,Max Lang and Jan Lachauer,"Max Lang, Jan Lachauer",False,nan,nan
Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Aquel No Era Yo (That Wasn't Me),Esteban Crespo,Esteban Crespo,False,nan,nan
Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Avant Que De Tout Perdre (Just before Losing Everything),Xavier Legrand and Alexandre Gavras,"Xavier Legrand, Alexandre Gavras",False,nan,nan
Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Helium,Anders Walter and Kim Magnusson,"Anders Walter, Kim Magnusson",True,nan,nan
Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Pitääkö Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?),Selma Vilhunen and Kirsikka Saari,"Selma Vilhunen, Kirsikka Saari",False,nan,nan
Title,SHORT FILM (Live Action),SHORT FILM (Live Action),The Voorman Problem,Mark Gill and Baldwin Li,"Mark Gill, Baldwin Li",False,nan,nan
Production,SOUND EDITING,SOUND EDITING,All Is Lost,Steve Boeddeker and Richard Hymns,"Steve Boeddeker, Richard Hymns",False,nan,nan
Production,SOUND EDITING,SOUND EDITING,Captain Phillips,Oliver Tarney,Oliver Tarney,False,nan,nan
Production,SOUND EDITING,SOUND EDITING,Gravity,Glenn Freemantle,Glenn Freemantle,True,nan,nan
Production,SOUND EDITING,SOUND EDITING,The Hobbit: The Desolation of Smaug,Brent Burge and Chris Ward,"Brent Burge, Chris Ward",False,nan,nan
Production,SOUND EDITING,SOUND EDITING,Lone Survivor,Wylie Stateman,Wylie Stateman,False,nan,nan
Production,SOUND MIXING,SOUND MIXING,Captain Phillips,"Chris Burdon, Mark Taylor, Mike Prestwood Smith and Chris Munro","Chris Burdon, Mark Taylor, Mike Prestwood Smith, Chris Munro",False,nan,nan
Production,SOUND MIXING,SOUND MIXING,Gravity,"Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro","Skip Lievsay, Niv Adiri, Christopher Benstead, Chris Munro",True,nan,nan
Production,SOUND MIXING,SOUND MIXING,The Hobbit: The Desolation of Smaug,"Christopher Boyes, Michael Hedges, Michael Semanick and Tony Johnson","Christopher Boyes, Michael Hedges, Michael Semanick, Tony Johnson",False,nan,nan
Production,SOUND MIXING,SOUND MIXING,Inside Llewyn Davis,"Skip Lievsay, Greg Orloff and Peter F. Kurland","Skip Lievsay, Greg Orloff, Peter F. Kurland",False,nan,nan
Production,SOUND MIXING,SOUND MIXING,Lone Survivor,"Andy Koyama, Beau Borders and David Brownlow","Andy Koyama, Beau Borders, David Brownlow",False,nan,nan
Production,VISUAL EFFECTS,VISUAL EFFECTS,Gravity,"Tim Webber, Chris Lawrence, David Shirk and Neil Corbould","Tim Webber, Chris Lawrence, David Shirk, Neil Corbould",True,nan,nan
Production,VISUAL EFFECTS,VISUAL EFFECTS,The Hobbit: The Desolation of Smaug,"Joe Letteri, Eric Saindon, David Clayton and Eric Reynolds","Joe Letteri, Eric Saindon, David Clayton, Eric Reynolds",False,nan,nan
Production,VISUAL EFFECTS,VISUAL EFFECTS,Iron Man 3,"Christopher Townsend, Guy Williams, Erik Nash and Dan Sudick","Christopher Townsend, Guy Williams, Erik Nash, Dan Sudick",False,nan,nan
Production,VISUAL EFFECTS,VISUAL EFFECTS,The Lone Ranger,"Tim Alexander, Gary Brozenich, Edson Williams and John Frazier","Tim Alexander, Gary Brozenich, Edson Williams, John Frazier",False,nan,nan
Production,VISUAL EFFECTS,VISUAL EFFECTS,Star Trek Into Darkness,"Roger Guyett, Patrick Tubach, Ben Grossmann and Burt Dalton","Roger Guyett, Patrick Tubach, Ben Grossmann, Burt Dalton",False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Before Midnight,"Written by Richard Linklater, Julie Delpy, Ethan Hawke","Richard Linklater, Julie Delpy, Ethan Hawke",False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Captain Phillips,Screenplay by Billy Ray,Billy Ray,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Philomena,Screenplay by Steve Coogan and Jeff Pope,"Steve Coogan, Jeff Pope",False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),12 Years a Slave,Screenplay by John Ridley,John Ridley,True,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),The Wolf of Wall Street,Screenplay by Terence Winter,Terence Winter,False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),American Hustle,Written by Eric Warren Singer and David O. Russell,"Eric Warren Singer, David O. Russell",False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),Blue Jasmine,Written by Woody Allen,Woody Allen,False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),Dallas Buyers Club,Written by Craig Borten & Melisa Wallack,"Craig Borten, Melisa Wallack",False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),Her,Written by Spike Jonze,Spike Jonze,True,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),Nebraska,Written by Bob Nelson,Bob Nelson,False,nan,nan
Special,JEAN HERSHOLT HUMANITARIAN AWARD,JEAN HERSHOLT HUMANITARIAN AWARD,nan,Angelina Jolie,Angelina Jolie,True,nan,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Foxcatcher,Steve Carell,Steve Carell,False,John du Pont,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,American Sniper,Bradley Cooper,Bradley Cooper,False,Chris Kyle,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,The Imitation Game,Benedict Cumberbatch,Benedict Cumberbatch,False,Alan Turing,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton,Michael Keaton,False,Riggan,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,The Theory of Everything,Eddie Redmayne,Eddie Redmayne,True,Stephen Hawking,nan
Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,The Judge,Robert Duvall,Robert Duvall,False,Joseph Palmer,nan
Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Boyhood,Ethan Hawke,Ethan Hawke,False,Dad,nan
Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Birdman or (The Unexpected Virtue of Ignorance),Edward Norton,Edward Norton,False,Mike,nan
Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Foxcatcher,Mark Ruffalo,Mark Ruffalo,False,David Schultz,nan
Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Whiplash,J.K. Simmons,J.K. Simmons,True,Fletcher,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,"Two Days, One Night",Marion Cotillard,Marion Cotillard,False,Sandra,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,The Theory of Everything,Felicity Jones,Felicity Jones,False,Jane Hawking,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Still Alice,Julianne Moore,Julianne Moore,True,Alice Howland,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Gone Girl,Rosamund Pike,Rosamund Pike,False,Amy Dunne,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Wild,Reese Witherspoon,Reese Witherspoon,False,Cheryl,nan
Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Boyhood,Patricia Arquette,Patricia Arquette,True,Mom,nan
Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Wild,Laura Dern,Laura Dern,False,Bobbi,nan
Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,The Imitation Game,Keira Knightley,Keira Knightley,False,Joan Clarke,nan
Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Birdman or (The Unexpected Virtue of Ignorance),Emma Stone,Emma Stone,False,Sam,nan
Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Into the Woods,Meryl Streep,Meryl Streep,False,Witch,nan
Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Big Hero 6,"Don Hall, Chris Williams and Roy Conli","Don Hall, Chris Williams, Roy Conli",True,nan,nan
Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,The Boxtrolls,"Anthony Stacchi, Graham Annable and Travis Knight","Anthony Stacchi, Graham Annable, Travis Knight",False,nan,nan
Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,How to Train Your Dragon 2,Dean DeBlois and Bonnie Arnold,"Dean DeBlois, Bonnie Arnold",False,nan,nan
Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Song of the Sea,Tomm Moore and Paul Young,"Tomm Moore, Paul Young",False,nan,nan
Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,The Tale of the Princess Kaguya,Isao Takahata and Yoshiaki Nishimura,"Isao Takahata, Yoshiaki Nishimura",False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Birdman or (The Unexpected Virtue of Ignorance),Emmanuel Lubezki,Emmanuel Lubezki,True,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Grand Budapest Hotel,Robert Yeoman,Robert Yeoman,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Ida,Lukasz Zal and Ryszard Lenczewski,"Lukasz Zal, Ryszard Lenczewski",False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Mr. Turner,Dick Pope,Dick Pope,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Unbroken,Roger Deakins,Roger Deakins,False,nan,nan
Production,COSTUME DESIGN,COSTUME DESIGN,The Grand Budapest Hotel,Milena Canonero,Milena Canonero,True,nan,nan
Production,COSTUME DESIGN,COSTUME DESIGN,Inherent Vice,Mark Bridges,Mark Bridges,False,nan,nan
Production,COSTUME DESIGN,COSTUME DESIGN,Into the Woods,Colleen Atwood,Colleen Atwood,False,nan,nan
Production,COSTUME DESIGN,COSTUME DESIGN,Maleficent,Anna B. Sheppard,Anna B. Sheppard,False,nan,nan
Production,COSTUME DESIGN,COSTUME DESIGN,Mr. Turner,Jacqueline Durran,Jacqueline Durran,False,nan,nan
Directing,DIRECTING,DIRECTING,Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu,Alejandro G. Iñárritu,True,nan,nan
Directing,DIRECTING,DIRECTING,Boyhood,Richard Linklater,Richard Linklater,False,nan,nan
Directing,DIRECTING,DIRECTING,Foxcatcher,Bennett Miller,Bennett Miller,False,nan,nan
Directing,DIRECTING,DIRECTING,The Grand Budapest Hotel,Wes Anderson,Wes Anderson,False,nan,nan
Directing,DIRECTING,DIRECTING,The Imitation Game,Morten Tyldum,Morten Tyldum,False,nan,nan
Title,DOCUMENTARY (Feature),DOCUMENTARY (Feature),CitizenFour,"Laura Poitras, Mathilde Bonnefoy and Dirk Wilutzky","Laura Poitras, Mathilde Bonnefoy, Dirk Wilutzky",True,nan,nan
Title,DOCUMENTARY (Feature),DOCUMENTARY (Feature),Finding Vivian Maier,John Maloof and Charlie Siskel,"John Maloof, Charlie Siskel",False,nan,nan
Title,DOCUMENTARY (Feature),DOCUMENTARY (Feature),Last Days in Vietnam,Rory Kennedy and Keven McAlester,"Rory Kennedy, Keven McAlester",False,nan,nan
Title,DOCUMENTARY (Feature),DOCUMENTARY (Feature),The Salt of the Earth,"Wim Wenders, Juliano Ribeiro Salgado and David Rosier","Wim Wenders, Juliano Ribeiro Salgado, David Rosier",False,nan,nan
Title,DOCUMENTARY (Feature),DOCUMENTARY (Feature),Virunga,Orlando von Einsiedel and Joanna Natasegara,"Orlando von Einsiedel, Joanna Natasegara",False,nan,nan
Title,DOCUMENTARY (Short Subject),DOCUMENTARY (Short Subject),Crisis Hotline: Veterans Press 1,Ellen Goosenberg Kent and Dana Perry,"Ellen Goosenberg Kent, Dana Perry",True,nan,nan
Title,DOCUMENTARY (Short Subject),DOCUMENTARY (Short Subject),Joanna,Aneta Kopacz,Aneta Kopacz,False,nan,nan
Title,DOCUMENTARY (Short Subject),DOCUMENTARY (Short Subject),Our Curse,Tomasz Sliwinski and Maciej Slesicki,"Tomasz Sliwinski, Maciej Slesicki",False,nan,nan
Title,DOCUMENTARY (Short Subject),DOCUMENTARY (Short Subject),The Reaper (La Parka),Gabriel Serra Arguello,Gabriel Serra Arguello,False,nan,nan
Title,DOCUMENTARY (Short Subject),DOCUMENTARY (Short Subject),White Earth,J. Christian Jensen,J. Christian Jensen,False,nan,nan
Production,FILM EDITING,FILM EDITING,American Sniper,Joel Cox and Gary D. Roach,"Joel Cox, Gary D. Roach",False,nan,nan
Production,FILM EDITING,FILM EDITING,Boyhood,Sandra Adair,Sandra Adair,False,nan,nan
Production,FILM EDITING,FILM EDITING,The Grand Budapest Hotel,Barney Pilling,Barney Pilling,False,nan,nan
Production,FILM EDITING,FILM EDITING,The Imitation Game,William Goldenberg,William Goldenberg,False,nan,nan
Production,FILM EDITING,FILM EDITING,Whiplash,Tom Cross,Tom Cross,True,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,Ida,Poland,nan,True,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,Leviathan,Russia,nan,False,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,Tangerines,Estonia,nan,False,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,Timbuktu,Mauritania,nan,False,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,Wild Tales,Argentina,nan,False,nan,nan
Production,MAKEUP AND HAIRSTYLING,MAKEUP AND HAIRSTYLING,Foxcatcher,Bill Corso and Dennis Liddiard,"Bill Corso, Dennis Liddiard",False,nan,nan
Production,MAKEUP AND HAIRSTYLING,MAKEUP AND HAIRSTYLING,The Grand Budapest Hotel,Frances Hannon and Mark Coulier,"Frances Hannon, Mark Coulier",True,nan,nan
Production,MAKEUP AND HAIRSTYLING,MAKEUP AND HAIRSTYLING,Guardians of the Galaxy,Elizabeth Yianni-Georgiou and David White,"Elizabeth Yianni-Georgiou, David White",False,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),The Grand Budapest Hotel,Alexandre Desplat,Alexandre Desplat,True,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),The Imitation Game,Alexandre Desplat,Alexandre Desplat,False,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),Interstellar,Hans Zimmer,Hans Zimmer,False,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),Mr. Turner,Gary Yershon,Gary Yershon,False,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),The Theory of Everything,Jóhann Jóhannsson,Jóhann Jóhannsson,False,nan,nan
Music,MUSIC (Original Song),MUSIC (Original Song),The Lego Movie,Music and Lyric by Shawn Patterson,Shawn Patterson,False,Everything Is Awesome,nan
Music,MUSIC (Original Song),MUSIC (Original Song),Selma,Music and Lyric by John Stephens and Lonnie Lynn,"John Stephens, Lonnie Lynn",True,Glory,nan
Music,MUSIC (Original Song),MUSIC (Original Song),Beyond the Lights,Music and Lyric by Diane Warren,Diane Warren,False,Grateful,nan
Music,MUSIC (Original Song),MUSIC (Original Song),Glen Campbell...I'll Be Me,Music and Lyric by Glen Campbell and Julian Raymond,"Glen Campbell, Julian Raymond",False,I'm Not Gonna Miss You,nan
Music,MUSIC (Original Song),MUSIC (Original Song),Begin Again,Music and Lyric by Gregg Alexander and Danielle Brisebois,"Gregg Alexander, Danielle Brisebois",False,Lost Stars,nan
Title,BEST PICTURE,BEST PICTURE,American Sniper,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers","Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper, Peter Morgan",False,nan,nan
Title,BEST PICTURE,BEST PICTURE,Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers","Alejandro G. Iñárritu, John Lesher, James W. Skotchdopole",True,nan,nan
Title,BEST PICTURE,BEST PICTURE,Boyhood,"Richard Linklater and Cathleen Sutherland, Producers","Richard Linklater, Cathleen Sutherland",False,nan,nan
Title,BEST PICTURE,BEST PICTURE,The Grand Budapest Hotel,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Producers","Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson",False,nan,nan
Title,BEST PICTURE,BEST PICTURE,The Imitation Game,"Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers","Nora Grossman, Ido Ostrowsky, Teddy Schwarzman",False,nan,nan
Title,BEST PICTURE,BEST PICTURE,Selma,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers","Christian Colson, Oprah Winfrey, Dede Gardner, Jeremy Kleiner",False,nan,nan
Title,BEST PICTURE,BEST PICTURE,The Theory of Everything,"Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers","Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten",False,nan,nan
Title,BEST PICTURE,BEST PICTURE,Whiplash,"Jason Blum, Helen Estabrook and David Lancaster, Producers","Jason Blum, Helen Estabrook, David Lancaster",False,nan,nan
Production,ART DIRECTION,PRODUCTION DESIGN,The Grand Budapest Hotel,Production Design: Adam Stockhausen; Set Decoration: Anna Pinnock,"Adam Stockhausen, Anna Pinnock",True,nan,nan
Production,ART DIRECTION,PRODUCTION DESIGN,The Imitation Game,Production Design: Maria Djurkovic; Set Decoration: Tatiana Macdonald,"Maria Djurkovic, Tatiana Macdonald",False,nan,nan
Production,ART DIRECTION,PRODUCTION DESIGN,Interstellar,Production Design: Nathan Crowley; Set Decoration: Gary Fettis,"Nathan Crowley, Gary Fettis",False,nan,nan
Production,ART DIRECTION,PRODUCTION DESIGN,Into the Woods,Production Design: Dennis Gassner; Set Decoration: Anna Pinnock,"Dennis Gassner, Anna Pinnock",False,nan,nan
Production,ART DIRECTION,PRODUCTION DESIGN,Mr. Turner,Production Design: Suzie Davies; Set Decoration: Charlotte Watts,"Suzie Davies, Charlotte Watts",False,nan,nan
Title,SHORT FILM (Animated),SHORT FILM (Animated),The Bigger Picture,Daisy Jacobs and Christopher Hees,"Daisy Jacobs, Christopher Hees",False,nan,nan
Title,SHORT FILM (Animated),SHORT FILM (Animated),The Dam Keeper,Robert Kondo and Dice Tsutsumi,"Robert Kondo, Dice Tsutsumi",False,nan,nan
Title,SHORT FILM (Animated),SHORT FILM (Animated),Feast,Patrick Osborne and Kristina Reed,"Patrick Osborne, Kristina Reed",True,nan,nan
Title,SHORT FILM (Animated),SHORT FILM (Animated),Me and My Moulton,Torill Kove,Torill Kove,False,nan,nan
Title,SHORT FILM (Animated),SHORT FILM (Animated),A Single Life,Joris Oprins,Joris Oprins,False,nan,nan
Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Aya,Oded Binnun and Mihal Brezis,"Oded Binnun, Mihal Brezis",False,nan,nan
Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Boogaloo and Graham,Michael Lennox and Ronan Blaney,"Michael Lennox, Ronan Blaney",False,nan,nan
Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Butter Lamp (La Lampe Au Beurre De Yak),Hu Wei and Julien Féret,"Hu Wei, Julien Féret",False,nan,nan
Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Parvaneh,Talkhon Hamzavi and Stefan Eichenberger,"Talkhon Hamzavi, Stefan Eichenberger",False,nan,nan
Title,SHORT FILM (Live Action),SHORT FILM (Live Action),The Phone Call,Mat Kirkby and James Lucas,"Mat Kirkby, James Lucas",True,nan,nan
Production,SOUND EDITING,SOUND EDITING,American Sniper,Alan Robert Murray and Bub Asman,"Alan Robert Murray, Bub Asman",True,nan,nan
Production,SOUND EDITING,SOUND EDITING,Birdman or (The Unexpected Virtue of Ignorance),Martín Hernández and Aaron Glascock,"Martín Hernández, Aaron Glascock",False,nan,nan
Production,SOUND EDITING,SOUND EDITING,The Hobbit: The Battle of the Five Armies,Brent Burge and Jason Canovas,"Brent Burge, Jason Canovas",False,nan,nan
Production,SOUND EDITING,SOUND EDITING,Interstellar,Richard King,Richard King,False,nan,nan
Production,SOUND EDITING,SOUND EDITING,Unbroken,Becky Sullivan and Andrew DeCristofaro,"Becky Sullivan, Andrew DeCristofaro",False,nan,nan
Production,SOUND MIXING,SOUND MIXING,American Sniper,"John Reitz, Gregg Rudloff and Walt Martin","John Reitz, Gregg Rudloff, Walt Martin",False,nan,nan
Production,SOUND MIXING,SOUND MIXING,Birdman or (The Unexpected Virtue of Ignorance),"Jon Taylor, Frank A. Montaño and Thomas Varga","Jon Taylor, Frank A. Montaño, Thomas Varga",False,nan,nan
Production,SOUND MIXING,SOUND MIXING,Interstellar,"Gary A. Rizzo, Gregg Landaker and Mark Weingarten","Gary A. Rizzo, Gregg Landaker, Mark Weingarten",False,nan,nan
Production,SOUND MIXING,SOUND MIXING,Unbroken,"Jon Taylor, Frank A. Montaño and David Lee","Jon Taylor, Frank A. Montaño, David Lee",False,nan,nan
Production,SOUND MIXING,SOUND MIXING,Whiplash,"Craig Mann, Ben Wilkins and Thomas Curley","Craig Mann, Ben Wilkins, Thomas Curley",True,nan,nan
Production,VISUAL EFFECTS,VISUAL EFFECTS,Captain America: The Winter Soldier,"Dan DeLeeuw, Russell Earl, Bryan Grill and Dan Sudick","Dan DeLeeuw, Russell Earl, Bryan Grill, Dan Sudick",False,nan,nan
Production,VISUAL EFFECTS,VISUAL EFFECTS,Dawn of the Planet of the Apes,"Joe Letteri, Dan Lemmon, Daniel Barrett and Erik Winquist","Joe Letteri, Dan Lemmon, Daniel Barrett, Erik Winquist",False,nan,nan
Production,VISUAL EFFECTS,VISUAL EFFECTS,Guardians of the Galaxy,"Stephane Ceretti, Nicolas Aithadi, Jonathan Fawkner and Paul Corbould","Stephane Ceretti, Nicolas Aithadi, Jonathan Fawkner, Paul Corbould",False,nan,nan
Production,VISUAL EFFECTS,VISUAL EFFECTS,Interstellar,"Paul Franklin, Andrew Lockley, Ian Hunter and Scott Fisher","Paul Franklin, Andrew Lockley, Ian Hunter, Scott Fisher",True,nan,nan
Production,VISUAL EFFECTS,VISUAL EFFECTS,X-Men: Days of Future Past,"Richard Stammers, Lou Pecora, Tim Crosbie and Cameron Waldbauer","Richard Stammers, Lou Pecora, Tim Crosbie, Cameron Waldbauer",False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),American Sniper,Written by Jason Hall,Jason Hall,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),The Imitation Game,Written by Graham Moore,Graham Moore,True,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Inherent Vice,Written for the screen by Paul Thomas Anderson,Paul Thomas Anderson,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),The Theory of Everything,Screenplay by Anthony McCarten,Anthony McCarten,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Whiplash,Written by Damien Chazelle,Damien Chazelle,False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),Birdman or (The Unexpected Virtue of Ignorance),"Written by Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Jr. & Armando Bo","Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris Jr., Armando Bo",True,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),Boyhood,Written by Richard Linklater,Richard Linklater,False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),Foxcatcher,Written by E. Max Frye and Dan Futterman,"E. Max Frye, Dan Futterman",False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),The Grand Budapest Hotel,Screenplay by Wes Anderson; Story by Wes Anderson & Hugo Guinness,"Wes Anderson, Hugo Guinness",False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),Nightcrawler,Written by Dan Gilroy,Dan Gilroy,False,nan,nan
Special,JEAN HERSHOLT HUMANITARIAN AWARD,JEAN HERSHOLT HUMANITARIAN AWARD,nan,Harry Belafonte,Harry Belafonte,True,nan,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Trumbo,Bryan Cranston,Bryan Cranston,False,Dalton Trumbo,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,The Martian,Matt Damon,Matt Damon,False,Mark Watney,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,The Revenant,Leonardo DiCaprio,Leonardo DiCaprio,True,Hugh Glass,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Steve Jobs,Michael Fassbender,Michael Fassbender,False,Steve Jobs,nan
