actor,total_films,mean_rating,mean_gross,wins
Bérénice Bejo,2,7.85,23001139.0,5
Dan Aykroyd,2,7.85,147931007.0,0
Anthony Edwards,2,7.7,17416149.0,0
Chris Williams,2,7.699999999999999,235642436.0,1
Adrien Brody,2,8.3,45836447.5,7
Carrie-Anne Moss,2,8.55,98512398.5,4
David Carradine,2,8.05,68153614.0,0
Billy Dee Williams,2,8.5,299800238.0,0
Chazz Palminteri,2,8.15,20304269.5,2
Bette Davis,2,8.149999999999999,2030088.5,7
Bill McKinney,2,7.75,39506452.0,0
Colin Farrell,2,7.75,69915028.0,0
Corey Feldman,2,7.949999999999999,56895316.0,0
Charles Chaplin,2,8.5,91213.0,0
Anne Hathaway,2,8.5,318079558.0,1
Armin Mueller-Stahl,2,7.65,26463195.5,1
David Morse,2,8.3,70492705.0,0
Billy Crystal,2,7.85,191369928.0,1
Bruno Ganz,2,8.1,4421504.5,0
Clark Gable,2,8.1,101518229.5,15
Bruno Kirby,2,7.65,67366681.0,0
Craig T. Nelson,2,7.8,435011418.0,2
Crispin Glover,2,8.05,105823804.5,1
Anna Kendrick,2,7.6,38008781.5,0
Peter Coyote,1,7.8,435110554.0,4
Peter Bull,1,7.7,536118.0,1
Paddy Considine,1,7.7,15539266.0,0
Paige O'Hara,1,8.0,218967620.0,2
Pete Postlethwaite,1,8.1,25010410.0,0
Pamela Adlon,1,7.7,151086.0,0
Peter Brocco,1,8.7,112000000.0,5
Peter Boyle,1,8.0,86300000.0,0
Pablo Rago,1,8.2,6391436.0,0
Paolo Bonacelli,1,7.6,35000000.0,2
Peter Billingsley,1,7.9,20605209.0,0
Antonia San Juan,1,7.8,8264530.0,0
Peter Dinklage,1,7.6,5739376.0,0
Antonella Attili,1,8.5,11990401.0,0
Art Parkinson,1,7.8,48023088.0,0
Philip King,1,8.1,25010410.0,0
Phil Lord,1,7.7,257760692.0,0
Phil Harris,1,7.6,141843612.0,1
Peter Wyngarde,1,7.8,2616000.0,0
Peter Stormare,1,8.0,4184036.0,0
Peter Ramsey,1,8.4,190241310.0,1
Arnold Lucy,1,8.0,3270000.0,6
Orto Ignatiussen,1,7.7,274092705.0,7
Art LaFleur,1,7.8,32416586.0,0
Ossie Davis,1,8.0,27545445.0,0
Otto Sander,1,8.0,3333969.0,0
Peter Ostrum,1,7.8,4000000.0,0
Pernilla Allwin,1,8.1,4971340.0,0
Perry Lopez,1,8.1,29000000.0,1
Penelope Allen,1,8.0,50000000.0,1
Per Ragnar,1,7.9,2122065.0,0
Penélope Cruz,1,7.6,52990775.0,0
Anthony Quinn,1,8.3,44824144.0,7
Paul Frankeur,1,7.9,198809.0,0
Pascal Greggory,1,7.6,10301706.0,2
Armie Hammer,1,7.9,18095701.0,1
Patricia Clarkson,1,7.6,5739376.0,0
